Date Pptn Tmax Tmin Wind
1951-01-01 0.0 28.62 17.23 2.8869
1951-01-02 0.0 29.15 16.59 2.9387
1951-01-03 0.0 28.52 15.49 2.3031
1951-01-04 0.0 29.33 14.93 2.0253
1951-01-05 0.0 29.03 13.93 2.0674
1951-01-06 0.0 28.75 15.35 3.6216
1951-01-07 0.0 29.05 14.35 4.6852
1951-01-08 0.0 28.51 14.53 4.0502
1951-01-09 0.0 29.38 14.83 3.2797
1951-01-10 0.0 29.96 14.76 3.034
1951-01-11 0.0 30.3 15.06 1.5627
1951-01-12 0.0 30.07 15.05 0.33748
1951-01-13 0.0 29.82 14.89 0.66255
1951-01-14 0.0 30.0 16.07 0.5377
1951-01-15 0.0 29.81 16.07 0.39166999999999996
1951-01-16 0.0 29.32 15.33 0.69628
1951-01-17 0.0 28.82 16.29 2.0991
1951-01-18 0.0 30.33 17.6 2.3363
1951-01-19 0.0 30.76 17.64 1.7208
1951-01-20 0.0 29.68 16.47 2.8382
1951-01-21 0.0 29.95 16.53 1.6957
1951-01-22 0.0 30.92 16.59 1.7185
1951-01-23 0.0 30.57 17.05 2.0282
1951-01-24 0.0 30.45 17.38 1.8159999999999998
1951-01-25 0.0 30.54 17.04 2.4130000000000003
1951-01-26 0.0 30.76 16.89 2.0119
1951-01-27 0.0 31.05 16.45 0.60928
1951-01-28 0.0 31.11 15.29 0.8498
1951-01-29 0.0 31.49 15.9 1.4287
1951-01-30 0.0 30.92 16.41 1.3251
1951-01-31 0.0 29.92 15.2 0.45455
1951-02-01 0.0 29.3 13.99 2.5768
1951-02-02 0.0 29.08 13.55 3.4697
1951-02-03 0.0 30.33 14.49 1.8028
1951-02-04 0.0 30.5 15.8 0.5875199999999999
1951-02-05 0.0 29.82 16.15 0.86266
1951-02-06 0.0 30.1 14.64 2.2811
1951-02-07 0.0 30.47 16.56 2.9008
1951-02-08 0.0 31.56 18.53 3.3533
1951-02-09 0.0 31.79 17.42 1.5203
1951-02-10 0.0 31.47 17.37 3.159
1951-02-11 0.0 31.9 16.75 3.6824
1951-02-12 0.0 31.24 16.55 3.2937
1951-02-13 0.0 32.43 17.73 2.8628
1951-02-14 0.0 32.98 18.61 3.5888
1951-02-15 0.0 32.61 16.65 4.8421
1951-02-16 0.0 31.6 16.16 3.6247
1951-02-17 0.0 32.6 15.67 4.4509
1951-02-18 0.0 32.88 15.52 2.9766
1951-02-19 0.0 32.54 15.72 1.1532
1951-02-20 0.0 33.23 17.07 2.74
1951-02-21 0.0 33.74 16.9 3.4042
1951-02-22 0.0 33.98 17.28 2.6426
1951-02-23 0.0 33.93 16.53 0.10678
1951-02-24 0.0 34.21 16.86 1.5527
1951-02-25 0.0 33.75 17.16 1.1288
1951-02-26 0.0 34.56 17.42 1.6057
1951-02-27 0.0 33.9 18.11 1.5301
1951-02-28 0.0 34.18 18.8 1.9417
1951-03-01 0.0 34.79 19.74 2.1528
1951-03-02 0.0 34.74 19.35 1.5133
1951-03-03 0.0 34.82 19.67 2.9186
1951-03-04 0.0 34.13 18.38 1.4815
1951-03-05 0.0 34.39 19.05 2.1063
1951-03-06 0.0 34.3 19.1 2.4437
