Date Pptn Tmax Tmin Wind
1951-01-01 0.0 29.64 16.62 3.1799
1951-01-02 0.0 28.75 15.27 3.0837
1951-01-03 0.0 28.07 13.8 2.2680000000000002
1951-01-04 0.0 28.31 14.34 3.0103
1951-01-05 0.0 28.75 15.81 3.9129
1951-01-06 0.0 28.84 15.24 4.7695
1951-01-07 0.0 28.01 13.74 4.0073
1951-01-08 0.0 28.73 15.09 4.0817
1951-01-09 0.0 29.31 14.8 2.9435
1951-01-10 0.0 29.77 14.13 1.8694
1951-01-11 0.0 29.65 14.56 2.2949
1951-01-12 0.0 29.61 15.93 3.5518
1951-01-13 0.0 30.38 17.97 4.9127
1951-01-14 0.0 29.77 17.35 4.5202
1951-01-15 0.0 29.83 16.86 4.327
1951-01-16 0.0 29.16 18.27 3.3079
1951-01-17 0.0 30.08 19.26 3.3004
1951-01-18 0.0 30.5 18.12 3.2655
1951-01-19 0.0 30.99 18.25 4.1814
1951-01-20 0.0 30.77 19.86 4.8071
1951-01-21 0.0 30.86 19.18 3.8274
1951-01-22 0.0 30.73 18.69 4.1032
1951-01-23 0.0 30.3 18.72 4.0421
1951-01-24 0.0 30.48 18.8 3.0671
1951-01-25 0.0 30.75 17.79 3.0497
1951-01-26 0.0 30.81 17.28 3.6156
1951-01-27 0.0 30.47 16.84 3.7724
1951-01-28 0.0 31.07 17.07 3.7121
1951-01-29 0.0 30.91 17.07 4.0002
1951-01-30 0.0 30.03 16.76 4.9131
1951-01-31 0.0 30.36 16.78 5.247000000000001
1951-02-01 0.0 30.85 16.77 5.1737
1951-02-02 0.0 31.19 16.66 4.3913
1951-02-03 0.0 31.89 18.11 3.3947
1951-02-04 0.0 31.95 18.98 4.6352
1951-02-05 0.0 31.34 18.74 3.6016
1951-02-06 0.0 31.13 18.38 4.3823
1951-02-07 0.0 30.68 17.21 3.2292
1951-02-08 0.0 31.25 18.29 3.7883
1951-02-09 0.0 31.57 17.9 3.177
1951-02-10 0.0 32.24 19.49 3.6811
1951-02-11 0.0 32.37 18.19 3.6639999999999997
1951-02-12 0.0 33.84 18.33 1.4486
1951-02-13 0.0 34.29 18.96 0.91058
1951-02-14 0.0 34.21 17.85 2.7461
1951-02-15 0.0 33.52 16.91 3.8891
1951-02-16 0.0 33.66 16.49 2.8179
1951-02-17 0.0 33.17 17.68 2.6912
1951-02-18 0.0 33.32 17.78 0.81297
1951-02-19 0.0 33.39 17.29 1.9613
1951-02-20 0.0 34.31 17.63 0.80875
1951-02-21 0.0 34.76 18.14 1.3478
1951-02-22 0.0 34.24 17.64 1.767
1951-02-23 0.0 34.94 17.47 2.3218
1951-02-24 0.0 36.23 19.23 3.2381
1951-02-25 0.0 36.23 19.34 4.087
1951-02-26 0.0 36.11 19.83 3.6749
1951-02-27 0.0 36.43 19.13 4.0652
1951-02-28 0.0 37.24 20.01 3.9973
1951-03-01 0.0 37.11 20.18 2.9313
1951-03-02 0.0 37.15 19.33 3.8301
1951-03-03 0.0 36.38 18.91 2.8961
1951-03-04 0.0 35.3 19.13 1.8707
1951-03-05 0.0 36.44 19.97 2.7725
1951-03-06 0.0 36.58 19.96 3.0105
1951-03-07 0.0 36.01 19.46 2.9898
1951-03-08 0.0 35.91 19.22 4.2713
1951-03-09 0.0 36.68 19.04 4.3661
1951-03-10 0.0 36.88 20.82 4.026
1951-03-11 0.0 36.81 20.65 5.0723
1951-03-12 0.0 37.86 20.32 4.5138
1951-03-13 0.0 38.05 20.48 3.4189
1951-03-14 0.0 37.26 21.15 3.2721
1951-03-15 0.0 36.84 22.17 3.7756
1951-03-16 0.0 35.73 22.23 3.7216
1951-03-17 0.0 36.46 22.75 4.9349
1951-03-18 0.0 37.28 23.49 4.6833
1951-03-19 0.0 38.36 23.64 4.2949
1951-03-20 0.0 38.49 23.05 3.8142
1951-03-21 0.0 38.33 23.63 3.8427
1951-03-22 0.0 37.54 22.56 4.7191
1951-03-23 0.0 37.9 23.34 3.6966
