Date Pptn Tmax Tmin Wind
1951-01-01 0.0 26.79 9.49 3.8869
1951-01-02 0.0 27.12 9.76 3.6566
1951-01-03 0.0 28.65 10.78 2.8317
1951-01-04 0.0 28.75 11.0 3.0118
1951-01-05 0.0 28.72 11.01 2.6411
1951-01-06 0.0 29.03 13.56 3.2411
1951-01-07 0.0 29.1 13.19 2.2226
1951-01-08 0.0 29.2 12.26 2.5568
1951-01-09 0.0 29.36 10.77 1.8877
1951-01-10 0.0 29.21 11.38 2.9037
1951-01-11 0.0 30.38 12.32 1.9597
1951-01-12 0.0 29.82 11.48 1.3882
1951-01-13 0.0 28.4 11.51 3.1006
1951-01-14 0.0 28.2 11.85 1.2636
1951-01-15 0.0 28.98 13.27 2.306
1951-01-16 0.0 28.73 10.85 3.7581
1951-01-17 0.0 26.16 9.01 4.4606
1951-01-18 0.0 27.05 9.72 2.7414
1951-01-19 0.0 28.48 12.21 3.5081
1951-01-20 0.0 28.47 9.79 4.3579
1951-01-21 0.0 26.54 9.66 4.1927
1951-01-22 0.0 27.32 10.24 4.3376
1951-01-23 0.0 26.82 10.71 4.747
1951-01-24 0.0 27.24 10.84 4.8325
1951-01-25 0.0 28.03 10.01 3.2689
1951-01-26 0.0 29.2 10.39 0.7631100000000001
1951-01-27 0.0 30.13 10.07 1.5430000000000001
1951-01-28 0.0 30.62 10.11 2.7676
1951-01-29 0.0 30.11 11.35 1.2648
1951-01-30 0.0 29.85 12.48 2.7086
1951-01-31 0.0 28.66 12.63 3.6264
1951-02-01 0.0 27.33 12.61 3.9364
1951-02-02 0.0 26.61 7.66 5.1923
1951-02-03 0.0 25.0 7.04 5.4788
1951-02-04 0.0 25.51 9.14 2.4391
1951-02-05 0.0 27.22 11.29 3.4323
1951-02-06 0.0 27.32 10.78 3.0762
1951-02-07 0.0 28.02 11.1 1.6501
1951-02-08 0.0 31.51 13.5 2.4199
1951-02-09 0.0 33.03 15.57 1.9909999999999999
1951-02-10 0.0 33.38 14.88 4.3431
1951-02-11 0.0 30.35 11.66 4.8476
1951-02-12 0.0 29.01 9.76 4.9012
1951-02-13 0.0 29.67 10.27 4.8645
1951-02-14 0.0 30.87 11.09 4.409
1951-02-15 0.0 31.42 10.7 4.2681
1951-02-16 0.0 31.22 10.92 5.1386
1951-02-17 0.0 32.74 12.88 4.9667
1951-02-18 0.0 33.51 11.69 2.5095
1951-02-19 0.0 34.6 13.22 4.446000000000001
1951-02-20 0.0 35.08 14.02 4.287
1951-02-21 0.0 35.49 14.24 2.7403
1951-02-22 0.0 37.32 15.18 0.27856
1951-02-23 0.0 35.94 15.08 4.0014
1951-02-24 0.0 36.12 16.02 2.3984
1951-02-25 0.0 34.9 15.44 1.5235
1951-02-26 0.0 34.89 14.95 1.245
1951-02-27 0.0 35.33 15.9 2.2493
1951-02-28 0.0 35.02 15.35 3.2269
1951-03-01 0.0 35.85 15.29 2.8116
1951-03-02 0.0 37.39 17.71 4.2692
1951-03-03 0.0 37.95 17.6 5.7112
1951-03-04 0.0 38.14 17.38 2.781
1951-03-05 0.0 37.77 16.68 1.3030000000000002
1951-03-06 0.0 38.1 17.87 2.5359
1951-03-07 0.0 38.21 18.93 3.9451
1951-03-08 0.0 38.36 19.42 2.5844
1951-03-09 0.0 36.9 19.55 3.085
1951-03-10 0.0 36.26 20.2 4.9347
1951-03-11 0.0 37.58 21.41 4.613
1951-03-12 0.0 35.99 19.82 5.1542
1951-03-13 0.0 35.67 17.9 3.9121
1951-03-14 0.0 35.56 18.86 3.883
1951-03-15 0.0 36.98 17.99 1.8931
1951-03-16 0.0 37.69 20.91 3.0263
1951-03-17 0.0 37.33 20.19 5.0095
1951-03-18 0.0 36.95 19.46 4.7211
1951-03-19 0.0 36.28 21.49 4.7668
1951-03-20 0.0 34.04 19.79 4.075
1951-03-21 0.0 34.3 18.38 2.1709
1951-03-22 0.0 33.68 19.41 5.0084
1951-03-23 0.0 33.87 21.24 2.1109
1951-03-24 0.15370999999999999 33.38 20.11 2.3168
1951-03-25 0.0 31.84 20.28 4.6984
1951-03-26 0.0 30.13 17.53 4.8307
1951-03-27 0.0 30.64 17.97 2.6197
1951-03-28 0.0 31.6 20.2 3.2371
1951-03-29 0.0 31.16 18.5 4.0077
1951-03-30 0.0 33.2 18.43 4.3007
1951-03-31 0.0 33.45 18.28 3.9935
1951-04-01 0.0 33.5 20.41 4.707
1951-04-02 0.0 33.95 19.99 5.3773
1951-04-03 0.0 35.05 20.02 3.5843
1951-04-04 0.0 34.32 18.87 3.3014
1951-04-05 0.0 35.11 19.63 4.8269
1951-04-06 0.0 35.55 21.84 5.4826
1951-04-07 0.0 34.33 19.0 3.8480000000000003
1951-04-08 0.0 33.79 18.23 3.5926
1951-04-09 0.0 34.61 18.59 4.0808
1951-04-10 0.0 36.04 16.6 2.273
1951-04-11 0.0 37.33 20.24 2.3191
1951-04-12 0.0 38.48 21.1 2.2356
1951-04-13 0.0 38.3 21.79 1.1376
1951-04-14 0.0 38.68 22.39 3.0682
1951-04-15 0.0 39.95 24.27 4.0359
1951-04-16 0.0 40.52 25.59 4.2815
1951-04-17 0.0 39.67 26.03 5.4842
1951-04-18 0.0 37.5 25.18 4.228
1951-04-19 0.0 38.21 23.87 3.9593
1951-04-20 0.0 37.07 22.84 5.6992
1951-04-21 0.0 36.17 21.99 6.5662
1951-04-22 0.0 35.5 22.11 6.2581
1951-04-23 0.0 36.48 22.8 5.7219
1951-04-24 0.0 36.73 23.85 5.3457
1951-04-25 0.0 37.7 24.9 5.2217
1951-04-26 0.0 37.87 24.53 5.7514
1951-04-27 0.0 37.38 23.84 6.1355
1951-04-28 0.0 37.46 23.94 4.6894
1951-04-29 0.0 37.8 24.58 4.3573
1951-04-30 0.0 37.78 24.42 4.9868
1951-05-01 0.0 37.75 24.37 4.7495
1951-05-02 0.0 37.93 23.81 5.3159
1951-05-03 0.0 37.48 23.34 5.1544
1951-05-04 0.0 38.12 24.41 4.5675
1951-05-05 0.0 37.63 24.6 4.6001
1951-05-06 0.0 38.29 25.39 5.1572
1951-05-07 0.0 39.71 25.94 4.7183
1951-05-08 0.0 40.75 25.77 4.5085
1951-05-09 0.0 41.4 26.33 4.9252
1951-05-10 0.0 41.59 25.57 5.135
1951-05-11 0.0 41.81 26.43 5.1629
1951-05-12 0.0 41.58 26.18 5.8766
1951-05-13 0.0 41.48 25.45 6.0334
1951-05-14 0.0 41.38 25.5 6.7188
1951-05-15 0.0 39.76 24.6 6.4185
1951-05-16 0.0 40.02 26.0 5.6878
1951-05-17 0.0 40.46 26.11 5.5073
1951-05-18 0.0 42.58 26.32 4.8758
1951-05-19 0.0 42.81 25.07 4.813
